Pacman: 14 || Ghost: 15 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 14 || Ghost: 16 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 14 || Ghost: 17 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 14 || Ghost: 18 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 14 || Ghost: 19 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 14 || Ghost: 21 || Pacman rate: 76.0 || Ghost rate: 24.0
Pacman: 14 || Ghost: 23 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 14 || Ghost: 24 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 14 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
---
Pacman: 22 || Ghost: 1 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 22 || Ghost: 2 || Pacman rate: 36.0 || Ghost rate: 64.0
Pacman: 22 || Ghost: 5 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 22 || Ghost: 6 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 22 || Ghost: 7 || Pacman rate: 100.0 || Ghost rate: 0.0
Pacman: 22 || Ghost: 9 || Pacman rate: 58.0 || Ghost rate: 42.0
Pacman: 22 || Ghost: 10 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 22 || Ghost: 11 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 22 || Ghost: 12 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 22 || Ghost: 13 || Pacman rate: 46.0 || Ghost rate: 54.0
Pacman: 22 || Ghost: 14 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 22 || Ghost: 15 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 22 || Ghost: 16 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 22 || Ghost: 17 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 22 || Ghost: 18 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 22 || Ghost: 19 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 22 || Ghost: 21 || Pacman rate: 80.0 || Ghost rate: 20.0
Pacman: 22 || Ghost: 23 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 22 || Ghost: 24 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 22 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
---
Pacman: 12 || Ghost: 1 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 12 || Ghost: 2 || Pacman rate: 62.0 || Ghost rate: 38.0
Pacman: 12 || Ghost: 5 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 12 || Ghost: 6 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 12 || Ghost: 7 || Pacman rate: 100.0 || Ghost rate: 0.0
Pacman: 12 || Ghost: 9 || Pacman rate: 48.0 || Ghost rate: 52.0
Pacman: 12 || Ghost: 10 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 12 || Ghost: 11 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 12 || Ghost: 12 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 12 || Ghost: 13 || Pacman rate: 46.0 || Ghost rate: 54.0
Pacman: 12 || Ghost: 14 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 12 || Ghost: 15 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 12 || Ghost: 16 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 12 || Ghost: 17 || Pacman rate: 100.0 || Ghost rate: 0.0
Pacman: 12 || Ghost: 18 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 12 || Ghost: 19 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 12 || Ghost: 21 || Pacman rate: 70.0 || Ghost rate: 30.0
Pacman: 12 || Ghost: 23 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 12 || Ghost: 24 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 12 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
---
Pacman: 24 || Ghost: 1 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 24 || Ghost: 2 || Pacman rate: 52.0 || Ghost rate: 48.0
Pacman: 24 || Ghost: 5 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 24 || Ghost: 6 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 24 || Ghost: 7 || Pacman rate: 100.0 || Ghost rate: 0.0
Pacman: 24 || Ghost: 9 || Pacman rate: 64.0 || Ghost rate: 36.0
Pacman: 24 || Ghost: 10 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 24 || Ghost: 11 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 24 || Ghost: 12 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 24 || Ghost: 13 || Pacman rate: 44.0 || Ghost rate: 56.0
Pacman: 24 || Ghost: 14 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 24 || Ghost: 15 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 24 || Ghost: 16 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 24 || Ghost: 17 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 24 || Ghost: 18 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 24 || Ghost: 19 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 24 || Ghost: 21 || Pacman rate: 70.0 || Ghost rate: 30.0
Pacman: 24 || Ghost: 23 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 24 || Ghost: 24 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 24 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
---
Pacman: 23 || Ghost: 1 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 23 || Ghost: 2 || Pacman rate: 52.0 || Ghost rate: 48.0
Pacman: 23 || Ghost: 5 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 23 || Ghost: 6 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 23 || Ghost: 7 || Pacman rate: 100.0 || Ghost rate: 0.0
Pacman: 23 || Ghost: 9 || Pacman rate: 58.0 || Ghost rate: 42.0
